Name,Categories,Date,Doc By Plan,模組,TNB,訂閱版本,Refactor,ID,Permalink,Post Type,Tags,產品
所有商品-新增商品(單筆新增、更新商品),"PLUS版適用,商品>商品上架/管理","September 24, 2019 2:34 AM (GMT+8)",新增與更新商品 (https://app.notion.com/p/24e24ee0f33c8054bcdaf4828cb3cbaf?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,894,https://www.cyberbiz.io/helpcenter/?p=894,post,,EC
商品上架：批次上架,"PLUS版適用,商品>商品上架/管理","April 6, 2023 2:00 AM (GMT+8)",Excel 大量匯入商品 (https://app.notion.com/p/Excel-24e24ee0f33c802a880adcf8e10dc983?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,924,https://www.cyberbiz.io/helpcenter/?p=924,post,,EC
超商物流限制與排除設定,商品>商品上架/管理,"November 14, 2022 8:00 AM (GMT+8)",設定超商配送限制與物流排除 (https://app.notion.com/p/24e24ee0f33c8007a5e6f889d99bc5d1?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,950,https://www.cyberbiz.io/helpcenter/?p=950,post,,EC
預設版型：色票設定,網站設定>金物流設定,"April 21, 2025 2:45 AM (GMT+8)",設定商品色票與款式圖片-預設版型 (https://app.notion.com/p/34524ee0f33c8041974aedbfa5241bc4?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,958,https://www.cyberbiz.io/helpcenter/?p=958,post,,EC
群組篩選器,商品>商品群組,"September 24, 2019 4:22 AM (GMT+8)",設定商品自訂分類群組 (https://app.notion.com/p/2de24ee0f33c80b4a809fdf3fd3f5336?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,985,https://www.cyberbiz.io/helpcenter/?p=985,post,,EC
群組排序,商品>商品群組,"September 24, 2019 6:37 AM (GMT+8)",設定首頁商品群組排序 (https://app.notion.com/p/24f24ee0f33c805caa90f5b4e9e5d521?pvs=21),"https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,995,https://www.cyberbiz.io/helpcenter/?p=995,post,,EC
加價購設定(訂單/商品加價購),商品>商品群組,"September 24, 2019 6:49 AM (GMT+8)","設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Yes,Yes",1008,https://www.cyberbiz.io/helpcenter/?p=1008,post,,"EC,EC"
設定商品任選折扣活動：任選折數,"商品>商品群組,行銷活動","September 25, 2019 3:48 AM (GMT+8)","編輯商品簡述與商品標語 (https://app.notion.com/p/2ce24ee0f33c807c9476fe20e842f9a3?pvs=21), 任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21)","https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e","trunk,branch","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Yes,Yes",1060,https://www.cyberbiz.io/helpcenter/?p=1060,post,,"EC,EC"
商品頁上傳影片,"PLUS版適用,商品>商品上架/管理","March 6, 2020 1:51 AM (GMT+8)",設定商品影片 (https://app.notion.com/p/24e24ee0f33c8056b229ebc5617eb148?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,1830,https://www.cyberbiz.io/helpcenter/?p=1830,post,,EC
商品管理,訂單,"May 27, 2020 6:00 AM (GMT+8)",商品管理介面總覽 (https://app.notion.com/p/24e24ee0f33c80eda4d2f17bdef5beeb?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",No,2017,https://www.cyberbiz.io/helpcenter/?p=2017,post,,EC
商品上架管理：配送物流/溫層綁定（一般宅配）,網站設定>金物流設定,"June 11, 2020 7:53 AM (GMT+8)",設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2221,https://www.cyberbiz.io/helpcenter/?p=2221,post,,EC
商品上架管理：配送通路綁定,網站設定>金物流設定,"June 12, 2020 4:05 AM (GMT+8)",設定商品配送條件（物流、溫層與出貨通路） (https://app.notion.com/p/24f24ee0f33c80789651c9895795decb?pvs=21),"https://app.notion.com/24f24ee0f33c8005a37ac435d8a8dd3e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,2249,https://www.cyberbiz.io/helpcenter/?p=2249,post,,EC
商品管理 – 介面說明,商品,"January 19, 2021 8:22 AM (GMT+8)",商品管理介面總覽 (https://app.notion.com/p/24e24ee0f33c80eda4d2f17bdef5beeb?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",No,2789,https://www.cyberbiz.io/helpcenter/?p=2789,post,,EC
產品頁：商品標語/商品簡述 文字呈現修改,網站設定>語法教學,"July 27, 2021 6:26 AM (GMT+8)",編輯商品簡述與商品標語 (https://app.notion.com/p/2ce24ee0f33c807c9476fe20e842f9a3?pvs=21),https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Yes,3545,https://www.cyberbiz.io/helpcenter/?p=3545,post,,EC
